Category,Sub-Category,Micro-Category,Name,URL,Phone,Message,Email,Location,Social,Description,Other
Government Assistance,Procurement Assistance,PTAC/APEX,APEX Accelerators (PTAC),https://www.apexaccelerators.us/,Varies by center,Varies by center,Varies by center,United States (nationwide),,Local centers offering free consulting & training for government contracting.,(central contact below)
Government Assistance,Policy Support,OSBP,DoD Office of Small Business Programs,https://business.defense.gov/,571-372-6191,Not Found,osd.osbp.info@mail.mil,United States,,"Central hub for small-business policy & governance across DoD (SBIR/STTR, Mentor-Protégé, etc.).",
Government Assistance,Procurement Assistance,SBA,SBA Government Contracting Division,https://www.sba.gov/federal-contracting,202-205-6459,Not Found,contracting@sba.gov,United States,,Provides Procurement Center Reps & SBDCs to guide businesses on federal contracting strategies.,
Funding,R&D Grants,SBIR/STTR,DoD SBIR/STTR Program,https://dodsbirsttr.mil/,703-214-1333,Not Found,DoDSBIRSupport@reisystems.com,United States,,"Competitive Phase I/II R&D contracts for small businesses in AI, autonomy, sensors, etc.",
Funding,R&D Grants,SVIP,DHS Silicon Valley Innovation Program,https://www.dhs.gov/science-and-technology/svip,Not Found,Not Found,dhs-silicon-valley@hq.dhs.gov,United States,,OTA-based prototyping funding for homeland-security startups (< 200 employees).,
Innovation Unit,Acquisition,CSO/OTAs,Defense Innovation Unit (DIU),https://www.diu.mil/work-with-us,Not Found,Not Found,info@diu.mil,United States,,Fast-track commercial tech adoption via CSOs & OT agreements for prototyping & fielding.,
Innovation Unit,Funding,NSIC,National Security Innovation Capital (NSIC),https://nsic.mil/,Not Found,Not Found,inquiry@nsic.mil,United States,,Non-dilutive seed funding for hardware dual-use startups to bridge the “valley of death.”,
Innovation Unit,Accelerator,AFWERX,AFWERX,https://afwerx.com/,Not Found,https://afwerx.com/about-us/contact/,sparkcells@afwerxspark.com,United States,,"USAF/USSF innovation arm offering SBIR/STTR Open Topics, challenges, Spark Cell pilots.",
Innovation Unit,Accelerator,SpaceWERX,SpaceWERX,https://spacewerx.us/,Not Found,https://spacewerx.us/about/contact/,Not Found,United States,,"Space Force arm of AFWERX, funding & prototyping for space-domain tech.",
Innovation Unit,Networking,NSIN,National Security Innovation Network,https://nsin.mil/,Not Found,Not Found,info@nsin.mil,United States,,"Connects academia, venture & DoD via hackathons, accelerators & university programs.",
